Donor ID,First Name,Last Name,Email,Donation Amount,Last Donation Date,Campaign,Donation Frequency,Engagement Level,Notes
001,Laura,Garcia,weavermichael@yahoo.com,200,2025-07-17,Giving Tuesday,Monthly,Medium,Listen sort stand down.
002,Nicole,Thompson,gina89@olson.net,25,2024-10-05,Giving Tuesday,One-time,Medium,Specific TV other article lay west weight.
003,Alexander,Lara,makayla16@hotmail.com,50,2024-05-13,Spring Drive,One-time,Medium,Single law key this.
004,Ashley,Jones,amanda58@hotmail.com,150,2024-01-12,Spring Drive,One-time,High,Reality himself event recent drop moment.
005,Hannah,Ford,mccormickchristopher@johnson.com,100,2025-09-26,Giving Tuesday,Quarterly,High,Major follow lose role forget state follow.
006,Jill,Ramos,frykelly@white.com,75,2024-04-01,Giving Tuesday,Quarterly,Medium,Sport bit eight.
007,Jeffery,Wade,ramirezandre@lang.com,200,2024-08-27,Annual Fund,Monthly,Medium,Impact apply thought read government off important.
008,Paul,Scott,jesserodriguez@yahoo.com,250,2025-02-06,Giving Tuesday,Quarterly,Medium,Those close natural choose everyone.
009,Amanda,West,robertward@anderson.com,200,2024-11-17,Spring Drive,Monthly,High,Sometimes animal executive high spring.
010,Kevin,King,fsimpson@coffey-valdez.com,50,2024-05-29,Special Event,One-time,Medium,Agree some focus control.
011,Megan,Roberts,ashley08@hotmail.com,300,2025-05-17,Spring Drive,Quarterly,Medium,Seem perhaps level.
012,Michelle,Carter,anngonzalez@hotmail.com,300,2024-04-03,Giving Tuesday,Quarterly,Medium,Allow fund young easy hand believe standard.
013,Aaron,Navarro,kelleycameron@wolf.info,25,2024-12-25,Special Event,One-time,Medium,Surface me marriage few goal there camera.
014,Dale,Miller,angel24@hotmail.com,25,2025-03-29,Annual Fund,Quarterly,High,Six scientist thus value democratic more.
015,Kristen,Taylor,lkennedy@yahoo.com,50,2025-05-23,Annual Fund,Quarterly,Medium,Boy issue space big guy.
016,Marco,Dean,vshort@martin.com,150,2024-09-05,Special Event,One-time,Medium,Mean positive resource keep student care.
017,Brittany,Woods,kristinewilliams@guerra.com,250,2024-04-23,Annual Fund,One-time,High,Back discuss teach require brother.
018,Joshua,Harrington,vincentluis@munoz.com,50,2024-04-17,Spring Drive,Quarterly,Low,Too for now evening still player say.
019,Jonathon,Wagner,erinwallace@gmail.com,200,2024-07-21,Annual Fund,Quarterly,Medium,Generation owner parent relate different.
020,Jeanne,Johnson,jamesnorman@garcia.com,250,2025-09-05,Spring Drive,Quarterly,Low,Hour with together happen.
021,Rachel,Skinner,tarawilson@yahoo.com,100,2023-11-02,Annual Fund,Quarterly,Medium,Million big imagine unit station.
022,Craig,Pittman,eanderson@gmail.com,25,2025-06-28,Spring Drive,Quarterly,Low,Race me deal such special professional.
023,Ana,Murphy,ygillespie@allen.com,50,2025-08-07,Giving Tuesday,Quarterly,High,Purpose Democrat particularly cost.
024,Amber,Dalton,morganchristopher@howe-randolph.info,200,2025-03-13,Annual Fund,Quarterly,High,Look why radio service above put week.
025,Scott,House,xhoward@yahoo.com,150,2024-05-31,Annual Fund,One-time,Low,Design job personal commercial.
026,Peter,Mccormick,berrymichael@hotmail.com,50,2024-11-27,Special Event,Quarterly,Medium,Sit alone that address kid.
027,Michelle,Ward,jensenrichard@hotmail.com,250,2025-05-03,Giving Tuesday,Monthly,High,Front lot perhaps brother type fast sell.
028,Richard,Montoya,shannon44@williams-wade.com,150,2023-11-25,Special Event,One-time,High,Live why experience air represent full responsibility.
029,Travis,Gibson,qrichard@hotmail.com,300,2024-08-19,Spring Drive,Quarterly,Medium,Crime Republican example fly admit.
030,Chelsea,Dominguez,joshuasullivan@gmail.com,150,2024-08-19,Giving Tuesday,Monthly,Medium,Defense several during present spring discuss it.
031,Matthew,Leblanc,melissamoore@yahoo.com,25,2024-11-03,Giving Tuesday,One-time,High,Top he Republican.
032,Jeremy,Elliott,zwright@brown.org,75,2025-01-19,Spring Drive,Quarterly,High,Tree impact name smile interview.
033,Kenneth,Sampson,mmelton@hotmail.com,200,2025-01-11,Special Event,Quarterly,High,Sign street mention cost us how purpose commercial.
034,Kristen,Collier,aguilarjoanna@harris-callahan.com,150,2024-02-07,Special Event,Monthly,Low,Truth between difference player player pretty visit mouth.
035,Brett,Adams,jessica39@cruz.com,300,2024-01-07,Giving Tuesday,Monthly,Low,Natural him these baby name all.
036,Tony,Leon,rose26@hotmail.com,150,2024-12-05,Annual Fund,One-time,Low,Door activity Congress three really media.
037,Amanda,Ortiz,wilsonronald@miller-savage.com,300,2025-08-16,Giving Tuesday,One-time,High,Everything threat perform listen property.
038,Christopher,Baldwin,carlsontroy@gmail.com,150,2024-05-16,Spring Drive,Quarterly,Medium,Whether kitchen determine computer picture.
